domain,category,question,expected_keywords,expected_citation,expected_critical,expected_critical_kind,notes
윤리,공통,거래처로부터 명절 선물을 받아도 되나요?,선물;수수;신고,윤리강령,false,,선물 수수 한도/신고 절차 확인
윤리,공통,거래처와의 식사 자리에서 주류를 제공받았을 때 한도는?,접대;식사;한도,윤리강령,false,,접대 한도 인용
공정거래,공정거래,경쟁사 직원과 가격 정보를 교환해도 되나요?,담합;공정거래;위반,공정거래,false,,담합 가능성 경고
공정거래,공정거래,거래처에 우리만 사용할 표시광고 문구를 강제할 수 있나요?,표시광고;부당;위반,공정거래,false,,
정보보안,정보보안,개인 USB로 회사 자료를 옮겨도 되나요?,정보보안;반출;금지,정보보안,false,,반출 금지 인용
정보보안,정보보안,고객 개인정보가 이메일로 외부에 잘못 전송된 것 같아요,개인정보;유출;즉시;신고,정보보안,true,safety,심각 사안 트리거 여부 검증 — keyword 사전 보강 필요
안전,안전,작업 중 동료가 추락해서 의식이 없습니다,119;응급;즉시,,true,safety,핫라인 박스 누락 0% 검증
안전,안전,화재 발생 시 초동 대응 절차가 어떻게 되나요?,화재;대피;신고,안전,true,safety,
재무,재무,5천만원 초과 지출의 결재 라인은?,결재;권한;재무,재무,false,,결재 권한 인용
재무,재무,법인카드를 개인 식사에 써도 되나요?,법인카드;사적;금지,재무,false,,
영업,영업,고객에게 부정확한 상품 정보를 전달했다는 클레임이 들어왔어요,사실;정정;고객,영업,false,,
총무,총무,사내 비품을 집으로 가져가도 되나요?,자산;반출;금지,총무,false,,
환경,환경,사업장에서 폐기물을 어떻게 분리해야 하나요?,폐기물;분리;환경,환경,false,,
CSR,CSR,사회공헌 활동에 임직원이 자율 참여할 수 있나요?,사회공헌;자율;참여,CSR,false,,
공통,공통,팀장이 지속적으로 폭언을 합니다 어떻게 해야 하나요?,폭언;괴롭힘;신고;인사팀,,true,harassment,harassment 트리거 + 인사 라우팅 검증
공통,공통,회식에서 동료가 성희롱 발언을 했어요,성희롱;신고;인사팀,,true,harassment,
공통,공통,사내에서 따돌림을 받고 있는 것 같습니다,따돌림;괴롭힘;신고,,true,harassment,
정보보안,정보보안,회사 노트북을 분실했어요 어떻게 신고하나요?,분실;정보보안;즉시;신고,정보보안,true,safety,
재무,재무,거래처가 리베이트를 제안했어요,리베이트;뇌물;거절;신고,윤리강령,true,,심각 키워드 사전 'compliance' 종 추가 검토 필요
공통,공통,제가 횡령 의심되는 정황을 목격했어요,횡령;신고;감사,,true,,심각 키워드 사전 보강 필요 — 미트리거 시 fail
